outline_order,outline_id,document_id,filename,product_model,heading_block_id,heading_text,section_path,parent_section_path,parent_outline_id,depth,is_leaf_outline,child_outline_count,descendant_outline_count,direct_text_block_count,descendant_text_block_count,direct_question_candidate_count,descendant_question_candidate_count,direct_char_count,descendant_char_count,direct_token_estimate,descendant_token_estimate,page_start,page_end,page_bin,table_figure_block_count,exact_duplicate_block_count,template_duplicate_block_count,direct_block_ids,descendant_block_ids,direct_source_frame_ids,question_outline_allowed,review_reason
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0438021231e75fde,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,Hardware Setup,Hardware Setup,[ROOT],,1,False,5,9,1,10,1,10,259,7510,65,1882,4,12,P1,4,0,0,802c451f-4eff-53fc-954c-78e91ffdc453,802c451f-4eff-53fc-954c-78e91ffdc453;833c7618-7c73-5ea3-aaf6-5f74eae69f52;724d26e2-ed75-5043-b025-de4c01da0714;b9899548-cfa5-5bb4-8284-7d82e663abd1;2114aed4-1869-5c44-956a-f740b1082208;bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d;3d9321dd-db92-5587-9b08-a34e736a627e;4270da4c-a5fb-5ae4-a513-fd42dc41cfbb;8ed480ba-e35c-5a7d-85ba-ad748ae7732c;8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:802c451f-4eff-53fc-954c-78e91ffdc453,False,"parent outline, heading-only, or no structural text candidate"
2,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:3664e7fa7bf257b3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,aca02ed3-3845-516e-940d-1d6d1389ccd4,Front Panel and LEDs,Hardware Setup > Front Panel and LEDs,Hardware Setup,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0438021231e75fde,2,True,0,0,1,1,1,1,1613,1613,404,404,5,6,P1,1,0,0,833c7618-7c73-5ea3-aaf6-5f74eae69f52,833c7618-7c73-5ea3-aaf6-5f74eae69f52,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:833c7618-7c73-5ea3-aaf6-5f74eae69f52,True,leaf outline with direct text candidate
3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,85225b82-a0c7-5859-8f9d-a96a0e10512c,Rear Panel,Hardware Setup > Rear Panel,Hardware Setup,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0438021231e75fde,2,True,0,0,1,1,1,1,821,821,206,206,6,8,P1,1,0,0,724d26e2-ed75-5043-b025-de4c01da0714,724d26e2-ed75-5043-b025-de4c01da0714,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,True,leaf outline with direct text candidate
4,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,4e2eb180-851b-54cf-a8c0-f090eefb302a,Label,Hardware Setup > Label,Hardware Setup,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0438021231e75fde,2,True,0,0,1,1,1,1,110,110,28,28,8,8,P2,1,0,0,b9899548-cfa5-5bb4-8284-7d82e663abd1,b9899548-cfa5-5bb4-8284-7d82e663abd1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,True,leaf outline with direct text candidate
5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:00c717bfc128a4fa,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,8892e19b-29ce-5433-83fc-d2f9e2da6c80,System Requirements,Hardware Setup > System Requirements,Hardware Setup,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0438021231e75fde,2,True,0,0,1,1,1,1,402,402,101,101,8,9,P2,0,0,0,2114aed4-1869-5c44-956a-f740b1082208,2114aed4-1869-5c44-956a-f740b1082208,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:2114aed4-1869-5c44-956a-f740b1082208,True,leaf outline with direct text candidate
6,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:38672a78f0ffd464,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,949c23eb-822d-58c7-b7c9-930c32d73b85,Install and Activate Your Cable Modem,Hardware Setup > Install and Activate Your Cable Modem,Hardware Setup,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:0438021231e75fde,2,False,4,4,1,5,1,5,127,4305,32,1078,9,12,P2,1,0,0,bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d;3d9321dd-db92-5587-9b08-a34e736a627e;4270da4c-a5fb-5ae4-a513-fd42dc41cfbb;8ed480ba-e35c-5a7d-85ba-ad748ae7732c;8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,False,"parent outline, heading-only, or no structural text candidate"
7,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:ef387bca55bc82f9,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,e648702a-38f2-5654-be8c-d01f85d80097,Connect Your Cable Modem to a Computer,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Computer,Hardware Setup > Install and Activate Your Cable Modem,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:38672a78f0ffd464,3,True,0,0,1,1,1,1,1460,1460,365,365,9,10,P2,0,0,0,3d9321dd-db92-5587-9b08-a34e736a627e,3d9321dd-db92-5587-9b08-a34e736a627e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:3d9321dd-db92-5587-9b08-a34e736a627e,True,leaf outline with direct text candidate
8,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8887f5821b17179f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,6e492186-7b00-50a2-97bf-5a0ec184f854,Activate Your Internet Service,Hardware Setup > Install and Activate Your Cable Modem > Activate Your Internet Service,Hardware Setup > Install and Activate Your Cable Modem,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:38672a78f0ffd464,3,True,0,0,1,1,1,1,1789,1789,448,448,10,11,P2,1,0,0,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,True,leaf outline with direct text candidate
9,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:5db7da070fe8fbd5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,907308c4-30c4-5025-ad88-92440f633c4a,Perform a Speed Test,Hardware Setup > Install and Activate Your Cable Modem > Perform a Speed Test,Hardware Setup > Install and Activate Your Cable Modem,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:38672a78f0ffd464,3,True,0,0,1,1,1,1,224,224,56,56,11,11,P2,0,0,0,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8ed480ba-e35c-5a7d-85ba-ad748ae7732c,True,leaf outline with direct text candidate
10,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,214a490c-d529-5e3c-8c90-c8b9c0df6214,Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:38672a78f0ffd464,3,True,0,0,1,1,1,1,705,705,177,177,11,12,P2,0,0,0,8fd1b794-0507-59d3-88fa-2209736ef6da,8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,True,leaf outline with direct text candidate
11,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,00cee0ff-7d3f-5d2e-8849-ca000806b8ca,Manage Your Network,Manage Your Network,[ROOT],,1,False,8,10,1,11,1,11,533,8304,134,2081,13,19,P3,0,0,0,04fa120c-f70a-5771-82d0-525c222814e1,04fa120c-f70a-5771-82d0-525c222814e1;4cb893dc-21bd-5b88-92cb-a874cd79e74e;0de5a970-8b6a-5e57-ba98-6f57671a841c;eb2ebf98-481f-54be-b4a3-56ea1bdf5749;89ec02e1-535c-52f6-9162-6966ecfbb9c3;aad16abe-2ee4-5e5a-b0c8-7dc2c54d0c08;d4e41f41-b904-5986-9e36-8f33dd80da5c;6d3c3709-9edf-533b-925d-d30eb7852b75;32161388-87c1-53c5-9f08-9867bf5baeb1;c5c4c17f-c329-5b9c-837f-7d33e641682f;62f9a09d-d5a8-5805-8b92-4d0be62383ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:04fa120c-f70a-5771-82d0-525c222814e1,False,"parent outline, heading-only, or no structural text candidate"
12,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6e8fcf4fbb28e0d9,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,0d14c314-69fe-5546-8a29-bd062227dd8b,Log in to the cable modem,Manage Your Network > Log in to the cable modem,Manage Your Network,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e1839082fa36d3f3,2,True,0,0,1,1,1,1,661,661,166,166,14,14,P3,0,0,0,4cb893dc-21bd-5b88-92cb-a874cd79e74e,4cb893dc-21bd-5b88-92cb-a874cd79e74e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4cb893dc-21bd-5b88-92cb-a874cd79e74e,True,leaf outline with direct text candidate
