document_index,document_id,filename,page_index,page_number,page_bin,text_chars,word_count,token_estimate,pdf_text_blocks,image_count,drawing_count,has_text,is_blank,table_flag,figure_flag
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,0,1,P1,154,24,39,5,1,11,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,1,2,P1,1095,154,274,7,0,3,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,2,3,P1,2349,134,588,11,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,3,4,P1,279,46,70,6,0,28,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,4,5,P1,302,52,76,6,1,1,True,False,False,True
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,5,6,P1,1512,261,378,31,5,19,True,False,True,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,6,7,P2,625,103,157,6,1,1,True,False,False,True
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,7,8,P2,714,124,179,21,1,1,True,False,False,True
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,8,9,P2,1593,276,399,18,0,7,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,9,10,P2,1126,153,282,17,1,34,True,False,True,True
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,10,11,P2,1553,215,389,17,0,10,True,False,True,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,11,12,P3,644,116,161,8,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,12,13,P3,559,103,140,6,0,76,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,13,14,P3,1538,270,385,19,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,14,15,P3,1525,245,382,18,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,15,16,P3,1365,230,342,22,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,16,17,P4,1412,224,353,17,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,17,18,P4,1019,175,255,10,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,18,19,P4,1578,266,395,18,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,19,20,P4,247,37,62,6,0,31,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,20,21,P4,194,29,49,4,0,1,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,21,22,P5,1738,309,435,26,0,10,True,False,True,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,22,23,P5,1566,272,392,14,0,8,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,23,24,P5,119,16,30,5,0,8,True,False,False,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,24,25,P5,591,80,148,13,0,12,True,False,True,False
1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,25,26,P5,778,126,195,22,0,8,True,False,True,False
2,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,0,1,P1,134,22,34,5,1,11,True,False,False,False
2,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,1,2,P1,1818,247,455,18,0,26,True,False,False,False
2,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,2,3,P1,2638,170,660,11,0,1,True,False,False,False
