outline_frame_id,outline_id,document_id,filename,product_model,heading_block_id,heading_text,section_path,parent_section_path,depth,page_start,page_end,page_bin,direct_text_block_count,descendant_text_block_count,direct_question_candidate_count,descendant_question_candidate_count,direct_char_count,descendant_char_count,direct_token_estimate,descendant_token_estimate,table_figure_block_count,direct_block_ids,descendant_block_ids,direct_source_frame_ids,question_outline_allowed,review_reason,stratum_id,candidate_rank_in_stratum,selected_for_question,selection_seed,selection_stage,review_status
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:3664e7fa7bf257b3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:3664e7fa7bf257b3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,aca02ed3-3845-516e-940d-1d6d1389ccd4,Front Panel and LEDs,Hardware Setup > Front Panel and LEDs,Hardware Setup,2,5,6,P1,1,1,1,1,1613,1613,404,404,1,833c7618-7c73-5ea3-aaf6-5f74eae69f52,833c7618-7c73-5ea3-aaf6-5f74eae69f52,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:833c7618-7c73-5ea3-aaf6-5f74eae69f52,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P1,1,False,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,85225b82-a0c7-5859-8f9d-a96a0e10512c,Rear Panel,Hardware Setup > Rear Panel,Hardware Setup,2,6,8,P1,1,1,1,1,821,821,206,206,1,724d26e2-ed75-5043-b025-de4c01da0714,724d26e2-ed75-5043-b025-de4c01da0714,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P1,2,True,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,4e2eb180-851b-54cf-a8c0-f090eefb302a,Label,Hardware Setup > Label,Hardware Setup,2,8,8,P2,1,1,1,1,110,110,28,28,1,b9899548-cfa5-5bb4-8284-7d82e663abd1,b9899548-cfa5-5bb4-8284-7d82e663abd1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P2,4,True,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:00c717bfc128a4fa,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:00c717bfc128a4fa,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,8892e19b-29ce-5433-83fc-d2f9e2da6c80,System Requirements,Hardware Setup > System Requirements,Hardware Setup,2,8,9,P2,1,1,1,1,402,402,101,101,0,2114aed4-1869-5c44-956a-f740b1082208,2114aed4-1869-5c44-956a-f740b1082208,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:2114aed4-1869-5c44-956a-f740b1082208,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P2,2,False,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8887f5821b17179f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:8887f5821b17179f,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,6e492186-7b00-50a2-97bf-5a0ec184f854,Activate Your Internet Service,Hardware Setup > Install and Activate Your Cable Modem > Activate Your Internet Service,Hardware Setup > Install and Activate Your Cable Modem,3,10,11,P2,1,1,1,1,1789,1789,448,448,1,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P2,5,False,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,214a490c-d529-5e3c-8c90-c8b9c0df6214,Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem,3,11,12,P2,1,1,1,1,705,705,177,177,0,8fd1b794-0507-59d3-88fa-2209736ef6da,8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P2,1,True,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:5db7da070fe8fbd5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:5db7da070fe8fbd5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,907308c4-30c4-5025-ad88-92440f633c4a,Perform a Speed Test,Hardware Setup > Install and Activate Your Cable Modem > Perform a Speed Test,Hardware Setup > Install and Activate Your Cable Modem,3,11,11,P2,1,1,1,1,224,224,56,56,0,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8ed480ba-e35c-5a7d-85ba-ad748ae7732c,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P2,3,False,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,3b6d4494-0910-5625-b417-33271fd4b6a2,Change the admin password,Manage Your Network > Change the admin password,Manage Your Network,2,14,15,P3,1,1,1,1,964,964,241,241,0,0de5a970-8b6a-5e57-ba98-6f57671a841c,0de5a970-8b6a-5e57-ba98-6f57671a841c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P3,4,True,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6e8fcf4fbb28e0d9,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6e8fcf4fbb28e0d9,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,0d14c314-69fe-5546-8a29-bd062227dd8b,Log in to the cable modem,Manage Your Network > Log in to the cable modem,Manage Your Network,2,14,14,P3,1,1,1,1,661,661,166,166,0,4cb893dc-21bd-5b88-92cb-a874cd79e74e,4cb893dc-21bd-5b88-92cb-a874cd79e74e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4cb893dc-21bd-5b88-92cb-a874cd79e74e,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P3,1,False,20260831,outline_random_pick,pending_manual_review
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,3267e31d-06e1-52ec-9be0-daf2ee12b678,View cable modem initialization,Manage Your Network > View cable modem initialization,Manage Your Network,2,15,15,P3,1,1,1,1,1223,1223,306,306,0,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,True,leaf outline with direct text candidate,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa::P3,2,True,20260831,outline_random_pick,pending_manual_review
