question_id,outline_frame_id,outline_id,document_id,filename,product_model,heading_text,section_path,page_start,page_end,page_bin,direct_source_frame_ids,question_family,language,selection_seed,slot_status,review_status,question_pair_id
Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Rear Panel,Hardware Setup > Rear Panel,6,8,P1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,facts_specifications,en,20260831,open,authoring_context_reviewed,Q-001
Q-101,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Rear Panel,Hardware Setup > Rear Panel,6,8,P1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,facts_specifications,id,20260831,open,authoring_context_reviewed,Q-001
Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Label,Hardware Setup > Label,8,8,P2,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,facts_specifications,en,20260831,open,authoring_context_reviewed,Q-002
Q-102,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Label,Hardware Setup > Label,8,8,P2,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,facts_specifications,id,20260831,open,authoring_context_reviewed,Q-002
Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,11,12,P2,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,setup_configuration,en,20260831,open,authoring_context_reviewed,Q-003
Q-103,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,11,12,P2,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,setup_configuration,id,20260831,open,authoring_context_reviewed,Q-003
Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Change the admin password,Manage Your Network > Change the admin password,14,15,P3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,setup_configuration,en,20260831,open,authoring_context_reviewed,Q-004
Q-104,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Change the admin password,Manage Your Network > Change the admin password,14,15,P3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,setup_configuration,id,20260831,open,authoring_context_reviewed,Q-004
Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,View cable modem initialization,Manage Your Network > View cable modem initialization,15,15,P3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,facts_specifications,en,20260831,open,authoring_context_reviewed,Q-005
Q-105,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,View cable modem initialization,Manage Your Network > View cable modem initialization,15,15,P3,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,facts_specifications,id,20260831,open,authoring_context_reviewed,Q-005
