question_id,outline_frame_id,outline_id,heading_text,section_path,source_frame_id,block_id,block_role,document_id,filename,page_start,page_end,block_sequence,text_block_sequence,char_start,char_end,text_sha256,selection_method,selection_status,rejection_reason
Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,Rear Panel,Hardware Setup > Rear Panel,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,724d26e2-ed75-5043-b025-de4c01da0714,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,6,8,7,3,3082,3903,789caa6c576f1a2a97ebc15ca27c23fc94df0dcbfa16d93b1562f82773e65561,deterministic_direct_block_materialization,selected,
Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,Label,Hardware Setup > Label,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,b9899548-cfa5-5bb4-8284-7d82e663abd1,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,8,8,9,4,3904,4014,51cf2eeb6cc7ea5ea235473e16e012fcbd1e3d215b491bddcaa153b1d075640d,deterministic_direct_block_materialization,selected,
Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,Connect Your Cable Modem to a Router After Installation and Activation,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,8fd1b794-0507-59d3-88fa-2209736ef6da,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,11,12,21,10,8022,8727,984c256bd82d3586119d6c2e8b6690ca7dc0c6c13f456eb6bddbaaf0d757f80f,deterministic_direct_block_materialization,selected,
Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,Change the admin password,Manage Your Network > Change the admin password,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:0de5a970-8b6a-5e57-ba98-6f57671a841c,0de5a970-8b6a-5e57-ba98-6f57671a841c,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,14,15,27,13,9924,10888,6039810af018c96b45a71c1e749efbc27f6e466b7708794ed42b402081bf4715,deterministic_direct_block_materialization,selected,
Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,View cable modem initialization,Manage Your Network > View cable modem initialization,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:eb2ebf98-481f-54be-b4a3-56ea1bdf5749,eb2ebf98-481f-54be-b4a3-56ea1bdf5749,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,15,15,29,14,10889,12112,3734cff333151c76cc7f7604c8704dd37bfeb3bd221a89cd39c083eaaebb47ce,deterministic_direct_block_materialization,selected,
Q-006,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:922aff4d97250b1a,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:922aff4d97250b1a,Use the factory reset software button,Manage Your Network > Reset the cable modem to factory default settings > Use the factory reset software button,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:62f9a09d-d5a8-5805-8b92-4d0be62383ce,62f9a09d-d5a8-5805-8b92-4d0be62383ce,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,19,19,43,21,16014,17042,adc7d9b39498ad8cd3da2af0211c244ca8d6576d593d5f0e0e383024e126ad79,deterministic_direct_block_materialization,selected,
Q-007,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:25d276b399cc0e63,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:25d276b399cc0e63,Use the reset button on the back panel,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:c5c4c17f-c329-5b9c-837f-7d33e641682f,c5c4c17f-c329-5b9c-837f-7d33e641682f,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,19,19,41,20,15580,16013,19fa53194e51a55a84d3682a497a47bb958a84f02aa6c34153a96b4240ee7ce8,deterministic_direct_block_materialization,selected,
Q-008,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:a071a10fef9360ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:a071a10fef9360ce,Cannot log in to the cable modem,Troubleshooting > Cannot log in to the cable modem,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:85bd9c8e-a264-5649-acbc-73648b7ce861,85bd9c8e-a264-5649-acbc-73648b7ce861,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,23,23,49,24,19004,20174,c7d88940b84daffef473841390cf3c7bfdfe0f719671563d0a18f6493381b87c,deterministic_direct_block_materialization,selected,
Q-009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:b934612f8b7cd99e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:b934612f8b7cd99e,Technical Specifications,Supplemental Information > Technical Specifications,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:88695618-cf2a-5bf0-9a58-da1167d8f0c6,88695618-cf2a-5bf0-9a58-da1167d8f0c6,outline_direct,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,25,26,57,28,20895,21653,b9c799c102b46f52139fd22876a4182ecc7875f78e1798f1bffff2e394d4fe09,deterministic_direct_block_materialization,selected,
Q-010,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:9238290c613deeba,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:9238290c613deeba,Install the Nano SIM Card,Introduction and Hardware Overview > Install the Nano SIM Card,398c0bb9-3253-4629-a5ed-18f51d9fb36b:37f50132-32d9-5fb0-a62d-366e401ac417,37f50132-32d9-5fb0-a62d-366e401ac417,outline_direct,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,10,10,13,6,5794,6159,0cc20936eeee2853c774dc301e4ac8234f84eb8d9af9d9a8ee0e5dc6f20c83a4,deterministic_direct_block_materialization,selected,
