question_pair_id,anchor_question_id,outline_frame_id,document_id,filename,product_model,parent_heading_id,block_id,source_frame_id,block_role,section_path,page_start,page_end,block_sequence,token_estimate,selection_method,selection_status,selection_reason
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,802c451f-4eff-53fc-954c-78e91ffdc453,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:802c451f-4eff-53fc-954c-78e91ffdc453,parent_subtree_child,Hardware Setup,4,4,3,65,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,833c7618-7c73-5ea3-aaf6-5f74eae69f52,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:833c7618-7c73-5ea3-aaf6-5f74eae69f52,parent_subtree_child,Hardware Setup > Front Panel and LEDs,5,6,5,404,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,724d26e2-ed75-5043-b025-de4c01da0714,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,anchor,Hardware Setup > Rear Panel,6,8,7,206,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,b9899548-cfa5-5bb4-8284-7d82e663abd1,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,parent_subtree_child,Hardware Setup > Label,8,8,9,28,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,2114aed4-1869-5c44-956a-f740b1082208,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:2114aed4-1869-5c44-956a-f740b1082208,parent_subtree_child,Hardware Setup > System Requirements,8,9,11,101,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem,9,9,13,32,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,3d9321dd-db92-5587-9b08-a34e736a627e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:3d9321dd-db92-5587-9b08-a34e736a627e,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Computer,9,10,15,365,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Activate Your Internet Service,10,11,17,448,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8ed480ba-e35c-5a7d-85ba-ad748ae7732c,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Perform a Speed Test,11,11,19,56,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,8fd1b794-0507-59d3-88fa-2209736ef6da,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8fd1b794-0507-59d3-88fa-2209736ef6da,parent_subtree_child,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,11,12,21,177,nearest_ancestor_subtree,candidate,anchor_or_parent_subtree_child
