question_id,question_pair_id,outline_frame_id,document_id,filename,product_model,section_path,question_family,language,question,answer,context_block_ids,evidence_block_ids,review_status
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Hardware Setup > Rear Panel,facts_specifications,en,"What are the buttons and connections on the back of the CM2000, and what happens if I hold Reset?","The rear panel has a Reset button, Ethernet port, coaxial cable port, and DC power connector. Holding Reset for at least seven seconds makes the Power LED blink white and returns the cable modem to factory settings.","[""724d26e2-ed75-5043-b025-de4c01da0714""]","[""724d26e2-ed75-5043-b025-de4c01da0714""]",auto_validated
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Hardware Setup > Label,facts_specifications,en,Where can I find the CM2000 login details and serial information?,"The label shows the modem login information, MAC address, and serial number.","[""b9899548-cfa5-5bb4-8284-7d82e663abd1""]","[""b9899548-cfa5-5bb4-8284-7d82e663abd1""]",auto_validated
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,setup_configuration,en,"After my service is activated, how do I connect the CM2000 to my router?","Reboot the modem and wait until the Internet LED is solid white. Connect the modem Ethernet port to the router WAN/Internet port, power on the router, wait until it is ready, and then connect a computer to the router.","[""8fd1b794-0507-59d3-88fa-2209736ef6da""]","[""8fd1b794-0507-59d3-88fa-2209736ef6da""]",auto_validated
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > Change the admin password,setup_configuration,en,How can I change the CM2000 administrator password?,"Use a secure password of 6–32 characters with upper- and lowercase letters, numbers, and symbols. Browse to 192.168.100.1, sign in as admin, then choose ADVANCED > Administration > Set Password, enter the old password and the new password twice, and click Apply.","[""0de5a970-8b6a-5e57-ba98-6f57671a841c""]","[""0de5a970-8b6a-5e57-ba98-6f57671a841c""]",auto_validated
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > View cable modem initialization,facts_specifications,en,How do I know when the CM2000 has finished starting up?,"The modem scans and locks downstream frequency, ranges upstream channels, obtains a WAN address, and connects to the Internet. In the modem interface, open Cable Connection and read the Startup Procedure and channel status.","[""eb2ebf98-481f-54be-b4a3-56ea1bdf5749""]","[""eb2ebf98-481f-54be-b4a3-56ea1bdf5749""]",auto_validated
Q-006,Q-006,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:922aff4d97250b1a,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > Reset the cable modem to factory default settings > Use the factory reset software button,troubleshooting_diagnostics,en,How can I safely reset the CM2000 from its settings page?,"Sign in at 192.168.100.1, choose ADVANCED, click Factory reset, and confirm with OK. The configuration is erased and the modem reboots in about one minute; do not close the browser, load another page, or power off the modem while it resets.","[""62f9a09d-d5a8-5805-8b92-4d0be62383ce""]","[""62f9a09d-d5a8-5805-8b92-4d0be62383ce""]",auto_validated
Q-007,Q-007,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:25d276b399cc0e63,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,troubleshooting_diagnostics,en,How can I reset the CM2000 using the button on the device?,Locate the rear Reset button and hold it with a straightened paper clip until the modem reboots. The configuration returns to factory defaults and the process takes about one minute.,"[""c5c4c17f-c329-5b9c-837f-7d33e641682f""]","[""c5c4c17f-c329-5b9c-837f-7d33e641682f""]",auto_validated
Q-008,Q-008,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:a071a10fef9360ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Troubleshooting > Cannot log in to the cable modem,troubleshooting_diagnostics,en,I cannot sign in to the CM2000. What should I check first?,"Check the Ethernet connection, enable Java/JavaScript/ActiveX, restart or refresh the browser, use lowercase admin with Caps Lock off, and ensure the computer address is in 192.168.100.2–192.168.100.254. If changes do not persist, click Apply before leaving the page or refresh the browser.","[""85bd9c8e-a264-5649-acbc-73648b7ce861""]","[""85bd9c8e-a264-5649-acbc-73648b7ce861""]",auto_validated
Q-009,Q-009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:b934612f8b7cd99e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Supplemental Information > Technical Specifications,facts_specifications,en,"What are the basic power, size, ports, and operating limits of the CM2000?","The adapter accepts 110–120 V at 47–60 Hz and outputs 12 VDC at 1.5 A. The modem is 6.8 × 3.7 × 8.2 inches (172 × 94 × 208 mm), weighs 1.02 lb (482 g), has one 2.5 Gbps RJ-45 port and a DOCSIS 3.1 coaxial connector, supports the listed OFDM/SC-QAM and OFDMA channels, and operates at 32–104°F (0–40°C) with up to 90% noncondensing humidity.","[""88695618-cf2a-5bf0-9a58-da1167d8f0c6""]","[""88695618-cf2a-5bf0-9a58-da1167d8f0c6""]",auto_validated
Q-010,Q-010,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:9238290c613deeba,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Introduction and Hardware Overview > Install the Nano SIM Card,setup_configuration,en,How do I put a SIM card into the LM1200?,"Obtain a nano SIM from the mobile provider, turn the modem off, place it horizontally with the bottom facing you, and gently insert the card into the SIM slot.","[""37f50132-32d9-5fb0-a62d-366e401ac417""]","[""37f50132-32d9-5fb0-a62d-366e401ac417""]",auto_validated
