question_id,question_pair_id,outline_frame_id,document_id,filename,product_model,section_path,question_family,evidence_block_ids,review_status,language,question,answer
Q-001,Q-001,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:e271e0b47a14e4d5,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Hardware Setup > Rear Panel,facts_specifications,"[""833c7618-7c73-5ea3-aaf6-5f74eae69f52"", ""724d26e2-ed75-5043-b025-de4c01da0714""]",codex_selected_provenance_checked,en,What should I know about the CM2000's rear controls and front lights when setting it up?,"The rear panel has a Reset button, Ethernet port, coaxial cable port, and DC power connector. Holding Reset for at least seven seconds returns the modem to factory settings. The front LEDs show power and connection status, so use them to confirm that the modem is powered and connected."
Q-002,Q-002,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:7cd40e7c102d4666,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Hardware Setup > Label,facts_specifications,"[""724d26e2-ed75-5043-b025-de4c01da0714"", ""b9899548-cfa5-5bb4-8284-7d82e663abd1""]",codex_selected_provenance_checked,en,Where can I find the CM2000's label information and identify the rear connections I need?,"The label contains the login information, MAC address, and serial number. On the rear panel, the Reset button, Ethernet port, coaxial port, and DC power connector are identified; use the Ethernet port for activation or for connecting a router afterward."
Q-003,Q-003,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:4b622d7b00d4e652,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Router After Installation and Activation,setup_configuration,"[""bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d"", ""3d9321dd-db92-5587-9b08-a34e736a627e"", ""4270da4c-a5fb-5ae4-a513-fd42dc41cfbb"", ""8ed480ba-e35c-5a7d-85ba-ad748ae7732c"", ""8fd1b794-0507-59d3-88fa-2209736ef6da""]",codex_selected_provenance_checked,en,"What should I do with a new CM2000, from connecting a computer and activating service to connecting a router and checking speed?","The CM2000 links the provider connection to a computer or router. Connect a computer to the modem, collect the provider account and modem information, and activate the service. After activation, reboot the modem, connect its Ethernet port to the router WAN/Internet port, power on the router, and connect the computer to it. Finally, run the provider's speed test and contact the provider if the result is below the subscription."
Q-004,Q-004,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:98f6c2f591f61009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > Change the admin password,setup_configuration,"[""04fa120c-f70a-5771-82d0-525c222814e1"", ""4cb893dc-21bd-5b88-92cb-a874cd79e74e"", ""0de5a970-8b6a-5e57-ba98-6f57671a841c""]",codex_selected_provenance_checked,en,"After setup, how do I sign in to the CM2000 and change its administrator password?","Normal operation does not require a login, but sign in when you need to change settings. Connect to the modem, open http://192.168.100.1, and sign in as admin with the product-label password. Then select ADVANCED > Administration > Set Password, enter the old password and the new password twice, and apply a secure 6–32 character password."
Q-005,Q-005,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:6a53389304868c8b,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > View cable modem initialization,facts_specifications,"[""eb2ebf98-481f-54be-b4a3-56ea1bdf5749"", ""89ec02e1-535c-52f6-9162-6966ecfbb9c3""]",codex_selected_provenance_checked,en,How do I know when the CM2000 has finished starting up?,"The modem scans and locks downstream frequency, ranges upstream channels, obtains a WAN address, and connects to the Internet. In the modem interface, open Cable Connection and read the Startup Procedure and channel status."
Q-006,Q-006,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:922aff4d97250b1a,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > Reset the cable modem to factory default settings > Use the factory reset software button,troubleshooting_diagnostics,"[""32161388-87c1-53c5-9f08-9867bf5baeb1"", ""62f9a09d-d5a8-5805-8b92-4d0be62383ce""]",codex_selected_provenance_checked,en,"How do I reset the CM2000 from its web page, and what should I expect afterward?","Sign in at http://192.168.100.1, open the ADVANCED tab, choose Factory reset, confirm with OK, and do not interrupt the modem while it reboots. The reset erases configured settings and takes about one minute; afterward the password is the one on the product label and the LAN address is 192.168.100.1."
Q-007,Q-007,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:25d276b399cc0e63,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Manage Your Network > Reset the cable modem to factory default settings > Use the reset button on the back panel,troubleshooting_diagnostics,"[""32161388-87c1-53c5-9f08-9867bf5baeb1"", ""c5c4c17f-c329-5b9c-837f-7d33e641682f""]",codex_selected_provenance_checked,en,"How do I reset the CM2000 with the button when I cannot use its web page, and what happens afterward?","On the back of the CM2000, press and hold the Reset button with a straightened paper clip until the modem reboots. This erases the configured settings and takes about one minute. The password returns to the value on the product label and the LAN address remains 192.168.100.1."
Q-008,Q-008,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:a071a10fef9360ce,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Troubleshooting > Cannot log in to the cable modem,troubleshooting_diagnostics,"[""a88667b7-b299-50cb-9f9c-7ca1197494a0"", ""85bd9c8e-a264-5649-acbc-73648b7ce861"", ""5127b280-fd0a-571f-ab9a-f66bb57d3f73""]",codex_selected_provenance_checked,en,What should I check when I cannot log in to the CM2000 or reach the internet?,"Start with the modem LEDs and confirm that power and the online connection look normal. Then check the Ethernet cable, browser support, browser restart, lowercase admin name, Caps Lock, and the computer address range 192.168.100.2–192.168.100.254. If the Online LED is white but Internet still does not work, confirm that the modem MAC address is registered with your provider."
Q-009,Q-009,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:OUTLINE:b934612f8b7cd99e,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,Supplemental Information > Technical Specifications,facts_specifications,"[""aaab89bf-432b-54b0-8b19-e4aba634a9a7"", ""88695618-cf2a-5bf0-9a58-da1167d8f0c6""]",codex_selected_provenance_checked,en,What are the CM2000's main specifications and factory defaults?,"The CM2000 uses a 110–120 V, 47–60 Hz adapter that outputs 12 VDC at 1.5 A, measures 6.8 × 3.7 × 8.2 inches, weighs about 1.02 lb, and has a 2.5 Gbps Ethernet port and coaxial connector. Its default login is http://192.168.100.1 with user name admin and the password printed on the product label."
Q-010,Q-010,398c0bb9-3253-4629-a5ed-18f51d9fb36b:OUTLINE:9238290c613deeba,398c0bb9-3253-4629-a5ed-18f51d9fb36b,netgear-lm1200.pdf,LM1200,Introduction and Hardware Overview > Install the Nano SIM Card,setup_configuration,"[""6f0c387b-1f88-5053-ab87-88c4b71a3cea"", ""37f50132-32d9-5fb0-a62d-366e401ac417""]",codex_selected_provenance_checked,en,How do I install the LM1200 nano SIM in the correct slot?,"Obtain a nano SIM from the mobile provider, turn the modem off, place it horizontally with the bottom facing you, and gently insert the card into the nano-SIM slot shown on the rear-panel diagram. The same panel also contains the antenna, Gigabit Ethernet, reset, and power connections."
