analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,5,50,23.7,0.46,0.09200000000000001,0.32,0.32,0.17088384429054784,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,10,50,23.7,0.9,0.09,0.66,0.66,0.2723072059267556,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,15,50,23.7,1.16,0.07733333333333334,0.76,0.76,0.3203109159863686,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,20,50,23.7,1.32,0.066,0.78,0.78,0.3410254442443998,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,25,50,23.7,1.38,0.055200000000000006,0.78,0.78,0.3464797388955144,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,30,50,23.7,1.4,0.04666666666666667,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,35,50,23.7,1.4,0.04,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,40,50,23.7,1.4,0.035,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,45,50,23.7,1.4,0.03111111111111111,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,50,50,23.7,1.4,0.027999999999999997,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,55,50,23.7,1.4,0.025454545454545455,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:facts_specifications,baseline-generic-hybrid,Hybrid baseline,60,50,23.7,1.4,0.023333333333333334,0.78,0.78,0.3484117296813715,0.0,11135.085500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,5,50,25.98,0.64,0.128,0.46,0.46,0.21409174936827846,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,10,50,25.98,0.94,0.094,0.56,0.56,0.267880340208807,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,15,50,25.98,1.12,0.07466666666666667,0.6,0.6,0.2957890187688583,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,20,50,25.98,1.38,0.069,0.66,0.66,0.32831651024369174,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,25,50,25.98,1.52,0.0608,0.72,0.72,0.35020113334048625,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,30,50,25.98,1.58,0.05266666666666667,0.72,0.72,0.35536871524254915,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,35,50,25.98,1.58,0.045142857142857144,0.72,0.72,0.35536871524254915,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,40,50,25.98,1.58,0.0395,0.72,0.72,0.35536871524254915,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,45,50,25.98,1.62,0.036000000000000004,0.72,0.72,0.35880844965501546,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,50,50,25.98,1.62,0.032400000000000005,0.72,0.72,0.35880844965501546,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,55,50,25.98,1.62,0.029454545454545452,0.72,0.72,0.35880844965501546,0.0,11359.371500000001
family:setup_configuration,baseline-generic-hybrid,Hybrid baseline,60,50,25.98,1.62,0.027000000000000003,0.72,0.72,0.35880844965501546,0.0,11359.371500000001
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,5,50,22.46,0.3,0.06,0.3,0.3,0.14837592751809509,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,10,50,22.46,0.5,0.05,0.5,0.5,0.20853027770578195,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,15,50,22.46,0.64,0.042666666666666665,0.62,0.62,0.23884904220857417,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,20,50,22.46,0.74,0.037000000000000005,0.68,0.68,0.2573351522828213,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,25,50,22.46,0.86,0.0344,0.74,0.74,0.2777093889611135,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,30,50,22.46,0.92,0.030666666666666665,0.74,0.74,0.28468995604548164,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,35,50,22.46,0.94,0.026857142857142854,0.74,0.74,0.2860232737162216,0.0,10736.087
family:troubleshooting_diagnostics,baseline-generic-hybrid,Hybrid baseline,40,50,22.46,0.96,0.024,0.74,0.74,0.28728937511843394,0.0,10736.087
