condition_id,condition_label,scope,from_k,to_k,question_count,delta_recall,recall_ci95_low,recall_ci95_high,recall_significant,delta_precision,precision_ci95_low,precision_ci95_high,precision_significant,delta_ndcg,ndcg_ci95_low,ndcg_ci95_high,ndcg_significant,recall_practical_small,recall_local_plateau,ndcg_practical_small
baseline-generic-hybrid,Hybrid baseline,combined,5,10,200,0.2,0.145,0.255,1,-0.017000000000000005,-0.029500000000000002,-0.005,1,0.06776580865816514,0.05228971829297488,0.08386621687982546,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,combined,10,15,200,0.08,0.045,0.12,1,-0.013666666666666669,-0.019500000000000003,-0.007666666666666668,1,0.03553364568244463,0.025070658119858143,0.04662447826967306,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,combined,15,20,200,0.05,0.02,0.085,1,-0.007583333333333331,-0.011416666666666665,-0.003666666666666665,1,0.026628363059860202,0.018250645152302902,0.035879464276477445,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,combined,20,25,200,0.035,0.01,0.06,1,-0.006950000000000001,-0.009650000000000002,-0.004100000000000001,1,0.01723576145806294,0.010733219923404497,0.024658030906629363,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,combined,25,30,200,0.0,0.0,0.0,0,-0.0071333333333333335,-0.008566666666666667,-0.005699166666666678,1,0.005798393813059465,0.002705996314285162,0.009204693923444278,1,1,1,1
baseline-generic-hybrid,Hybrid baseline,combined,30,35,200,0.0,0.0,0.0,0,-0.006095238095238095,-0.007142857142857143,-0.004976190476190476,1,0.0019427060630298975,0.0002974001215745914,0.0044065187080148185,1,1,1,1
baseline-generic-hybrid,Hybrid baseline,combined,35,40,200,0.0,0.0,0.0,0,-0.004696428571428569,-0.005482142857142856,-0.003856696428571433,1,0.0013311836662833925,0.0,0.0030612785271450344,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,combined,40,45,200,0.005,0.0,0.015,0,-0.0036527777777777782,-0.004305555555555556,-0.002972222222222223,1,0.002094190941629367,0.0003070122214359347,0.004636225585384222,1,1,1,1
baseline-generic-hybrid,Hybrid baseline,combined,45,50,200,0.0,0.0,0.0,0,-0.0033222222222222225,-0.0037444444444444448,-0.002911111111111111,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,combined,50,55,200,0.0,0.0,0.0,0,-0.0027181818181818197,-0.003072727272727274,-0.002372727272727274,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,combined,55,60,200,0.0,0.0,0.0,0,-0.0022651515151515143,-0.0025606060606060592,-0.0019772727272727264,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,en,5,10,100,0.2,0.12,0.28,1,-0.027000000000000007,-0.04699999999999999,-0.008,1,0.05835609528815144,0.03892880924065647,0.07939449761579698,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,en,10,15,100,0.1,0.05,0.16,1,-0.011666666666666669,-0.02033333333333333,-0.0030000000000000027,1,0.042561912006823126,0.02675751346818313,0.05969887376498235,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,en,15,20,100,0.05,0.01,0.1,1,-0.007833333333333333,-0.013166666666666665,-0.002166666666666665,1,0.026791749775761275,0.015177104502020618,0.039442560893570226,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,en,20,25,100,0.05,0.01,0.1,1,-0.007500000000000002,-0.011300000000000001,-0.003600000000000002,1,0.021288761017314074,0.011146581442294613,0.03297831942532632,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,en,25,30,100,0.0,0.0,0.0,0,-0.006333333333333335,-0.008600000000000002,-0.004,1,0.01009354843566888,0.004477389468855315,0.01636484419630477,1,1,1,0
baseline-generic-hybrid,Hybrid baseline,en,30,35,100,0.0,0.0,0.0,0,-0.0065238095238095255,-0.008142857142857143,-0.004714285714285715,1,0.0025355137917715863,0.0,0.006939882539944748,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,en,35,40,100,0.0,0.0,0.0,0,-0.005392857142857139,-0.006357142857142855,-0.004428571428571427,1,0.0006330507011061543,0.0,0.0018991521033184628,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,en,40,45,100,0.01,0.0,0.03,0,-0.003750000000000001,-0.004694444444444445,-0.0027222222222222227,1,0.003318109068753447,0.0,0.008112253877644733,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,en,45,50,100,0.0,0.0,0.0,0,-0.0036000000000000003,-0.004177777777777778,-0.003044444444444445,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,en,50,55,100,0.0,0.0,0.0,0,-0.0029454545454545467,-0.00341818181818182,-0.0024909090909090922,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,en,55,60,100,0.0,0.0,0.0,0,-0.0024545454545454536,-0.0028484848484848476,-0.0020757575757575746,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,5,10,100,0.2,0.12,0.28,1,-0.007000000000000002,-0.022000000000000006,0.008,0,0.07717552202817884,0.05401213711307981,0.10147667023244633,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,id,10,15,100,0.06,0.02,0.11,1,-0.01566666666666667,-0.024000000000000004,-0.007666666666666668,1,0.02850537935806614,0.015552911504372297,0.04337199356197369,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,id,15,20,100,0.05,0.01,0.1,1,-0.007333333333333331,-0.012666666666666665,-0.001999999999999998,1,0.026464976343959126,0.014456849555724505,0.0398247863233583,1,0,0,0
baseline-generic-hybrid,Hybrid baseline,id,20,25,100,0.02,0.0,0.05,0,-0.006400000000000001,-0.0104,-0.002200000000000002,1,0.013182761898811814,0.005132216824576674,0.02287740270152493,1,1,1,0
baseline-generic-hybrid,Hybrid baseline,id,25,30,100,0.0,0.0,0.0,0,-0.007933333333333332,-0.009666666666666669,-0.006333333333333333,1,0.0015032391904500502,0.0,0.0038185258713005275,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,30,35,100,0.0,0.0,0.0,0,-0.005666666666666668,-0.007000000000000001,-0.004285714285714288,1,0.0013498983342882086,0.0,0.0034548947597154434,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,35,40,100,0.0,0.0,0.0,0,-0.003999999999999998,-0.005249999999999998,-0.002678571428571427,1,0.002029316631460631,0.0,0.005212029836829023,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,40,45,100,0.0,0.0,0.0,0,-0.003555555555555556,-0.004416666666666667,-0.002666666666666667,1,0.0008702728145052868,0.0,0.0026108184435158603,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,45,50,100,0.0,0.0,0.0,0,-0.0030444444444444447,-0.003688888888888889,-0.002444444444444445,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,50,55,100,0.0,0.0,0.0,0,-0.002490909090909092,-0.003000000000000001,-0.0020000000000000013,1,0.0,0.0,0.0,0,1,1,1
baseline-generic-hybrid,Hybrid baseline,id,55,60,100,0.0,0.0,0.0,0,-0.0020757575757575746,-0.0024999999999999988,-0.0016666666666666657,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-recursive,Recursive chunker,combined,5,10,200,0.2,0.145,0.255,1,-0.0115,-0.023,-2.7755575615628914e-19,1,0.0627467574414015,0.04730920495298736,0.0790268235150186,1,0,0,0
chunker-generic-recursive,Recursive chunker,combined,10,15,200,0.065,0.035,0.1,1,-0.011833333333333336,-0.01633333333333334,-0.007333333333333335,1,0.025269896972384052,0.01612028791201206,0.035434007567938026,1,0,0,0
chunker-generic-recursive,Recursive chunker,combined,15,20,200,0.04,0.015,0.07,1,-0.009166666666666665,-0.011749999999999998,-0.006416666666666665,1,0.012185439417216993,0.005895095491324433,0.019217345577724608,1,0,0,0
chunker-generic-recursive,Recursive chunker,combined,20,25,200,0.015,0.0,0.035,0,-0.004700000000000001,-0.006550000000000003,-0.002750000000000001,1,0.011217529487975483,0.005986824348350486,0.017408460185382193,1,1,1,0
