condition_id,condition_label,scope,question_count,terminal_recall_plateau_k,terminal_ndcg_plateau_k,sweet_spot_k,recall_at_sweet,recall_at_60,recall_gain_after_sweet,precision_at_sweet,precision_at_60,precision_change_after_sweet,ndcg_at_sweet,ndcg_at_60,ndcg_gain_after_sweet
baseline-generic-hybrid,Hybrid baseline,combined,200,25,25,25,0.74,0.745,0.0050000000000000044,0.054799999999999995,0.024916666666666663,-0.02988333333333333,0.32750504334240177,0.3386715178264039,0.011166474484002153
baseline-generic-hybrid,Hybrid baseline,en,100,25,30,30,0.8,0.81,0.010000000000000009,0.051666666666666666,0.026999999999999996,-0.02466666666666667,0.3740292062883829,0.38051587985001406,0.006486673561631184
baseline-generic-hybrid,Hybrid baseline,id,100,20,25,25,0.68,0.68,0.0,0.0516,0.02283333333333333,-0.02876666666666667,0.29107442883208956,0.2968271558027938,0.005752726970704225
chunker-generic-recursive,Recursive chunker,combined,200,20,25,25,0.61,0.63,0.020000000000000018,0.0358,0.016416666666666666,-0.019383333333333332,0.2837034483189314,0.2942560217005129,0.010552573381581498
chunker-generic-recursive,Recursive chunker,en,100,25,25,25,0.68,0.7,0.019999999999999907,0.0404,0.018000000000000002,-0.022399999999999996,0.3297607551140914,0.3392777195959366,0.009516964481845192
chunker-generic-recursive,Recursive chunker,id,100,20,20,20,0.54,0.56,0.020000000000000018,0.0365,0.014833333333333334,-0.021666666666666664,0.23237527105277686,0.24923432380508928,0.01685905275231242
chunker-generic-sliding-window,Sliding-window chunker,combined,200,25,25,25,0.675,0.685,0.010000000000000009,0.047599999999999996,0.021083333333333332,-0.026516666666666664,0.3167338561168373,0.32488528397132055,0.00815142785448325
chunker-generic-sliding-window,Sliding-window chunker,en,100,25,25,25,0.72,0.73,0.010000000000000009,0.0524,0.023166666666666665,-0.029233333333333337,0.34466249440299085,0.35350874416038747,0.008846249757396618
chunker-generic-sliding-window,Sliding-window chunker,id,100,25,25,25,0.63,0.64,0.010000000000000009,0.042800000000000005,0.019,-0.023800000000000005,0.2888052178306836,0.29626182378225374,0.007456605951570161
indexer-generic-sparse,Sparse indexer,combined,200,45,30,45,0.465,0.495,0.02999999999999997,0.02288888888888889,0.01925,-0.0036388888888888894,0.17729379199702675,0.18987855001833076,0.012584758021304016
indexer-generic-sparse,Sparse indexer,en,100,45,45,45,0.6,0.64,0.040000000000000036,0.026666666666666665,0.02266666666666666,-0.0040000000000000036,0.23067845522909175,0.24717079975319448,0.016492344524102726
indexer-generic-sparse,Sparse indexer,id,100,30,25,30,0.3,0.35,0.04999999999999999,0.022333333333333334,0.015833333333333335,-0.006499999999999999,0.1058219450512556,0.13258630028346702,0.02676435523221142
indexer-generic-dense,Dense indexer,combined,200,40,40,40,0.83,0.86,0.030000000000000027,0.048499999999999995,0.03766666666666667,-0.010833333333333327,0.37407673087923,0.4000543944302511,0.025977663551021102
indexer-generic-dense,Dense indexer,en,100,40,40,40,0.85,0.88,0.030000000000000027,0.05075000000000001,0.039,-0.01175000000000001,0.39557624150143683,0.420379211651235,0.024802970149798154
indexer-generic-dense,Dense indexer,id,100,40,40,40,0.81,0.84,0.029999999999999916,0.04625,0.036333333333333336,-0.009916666666666664,0.35257722025702326,0.3797295772092674,0.02715235695224416
