analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
en,baseline-generic-hybrid,Hybrid baseline,5,100,27.78,0.56,0.11200000000000002,0.4,0.4,0.21493713976466405,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,10,100,27.78,0.85,0.085,0.6,0.6,0.2732932350528155,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,15,100,27.78,1.1,0.07333333333333333,0.7,0.7,0.31585514705963863,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,20,100,27.78,1.31,0.0655,0.75,0.75,0.3426468968353999,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,25,100,27.78,1.45,0.057999999999999996,0.8,0.8,0.363935657852714,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,30,100,27.78,1.55,0.051666666666666666,0.8,0.8,0.3740292062883829,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,35,100,27.78,1.58,0.045142857142857144,0.8,0.8,0.3765647200801544,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,40,100,27.78,1.59,0.03975,0.8,0.8,0.3771977707812606,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,45,100,27.78,1.62,0.036000000000000004,0.81,0.81,0.38051587985001406,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,50,100,27.78,1.62,0.032400000000000005,0.81,0.81,0.38051587985001406,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,55,100,27.78,1.62,0.029454545454545452,0.81,0.81,0.38051587985001406,0.0,12011.2695
en,baseline-generic-hybrid,Hybrid baseline,60,100,27.78,1.62,0.027000000000000003,0.81,0.81,0.38051587985001406,0.0,12011.2695
id,baseline-generic-hybrid,Hybrid baseline,5,100,22.28,0.44,0.08800000000000001,0.35,0.35,0.14574578920307366,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,10,100,22.28,0.81,0.081,0.55,0.55,0.22292131123125247,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,15,100,22.28,0.98,0.06533333333333333,0.61,0.61,0.2514266905893186,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,20,100,22.28,1.16,0.057999999999999996,0.66,0.66,0.27789166693327777,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,25,100,22.28,1.29,0.0516,0.68,0.68,0.29107442883208956,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,30,100,22.28,1.31,0.04366666666666666,0.68,0.68,0.2925776680225396,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,35,100,22.28,1.33,0.038,0.68,0.68,0.2939275663568278,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,40,100,22.28,1.36,0.034,0.68,0.68,0.2959568829882885,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,45,100,22.28,1.37,0.030444444444444444,0.68,0.68,0.29682715580279373,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,50,100,22.28,1.37,0.0274,0.68,0.68,0.29682715580279373,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,55,100,22.28,1.37,0.02490909090909091,0.68,0.68,0.29682715580279373,0.0,9695.4695
id,baseline-generic-hybrid,Hybrid baseline,60,100,22.28,1.37,0.02283333333333333,0.68,0.68,0.29682715580279373,0.0,9695.4695
en,chunker-generic-recursive,Recursive chunker,5,100,27.45,0.45,0.09,0.34,0.34,0.21370400762785674,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,10,100,27.45,0.7,0.07,0.53,0.53,0.274270521688013,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,15,100,27.45,0.82,0.05466666666666667,0.6,0.6,0.29867733317854367,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,20,100,27.45,0.89,0.044500000000000005,0.65,0.65,0.312596566609135,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,25,100,27.45,1.01,0.0404,0.68,0.68,0.3297607551140914,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,30,100,27.45,1.06,0.035333333333333335,0.69,0.69,0.3365044841081908,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,35,100,27.45,1.06,0.030285714285714284,0.69,0.69,0.3365044841081908,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,40,100,27.45,1.08,0.027000000000000003,0.7,0.7,0.3392777195959366,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,45,100,27.45,1.08,0.024,0.7,0.7,0.3392777195959366,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,50,100,27.45,1.08,0.0216,0.7,0.7,0.3392777195959366,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,55,100,27.45,1.08,0.019636363636363636,0.7,0.7,0.3392777195959366,0.0,6270.8240000000005
en,chunker-generic-recursive,Recursive chunker,60,100,27.45,1.08,0.018000000000000002,0.7,0.7,0.3392777195959366,0.0,6270.8240000000005
id,chunker-generic-recursive,Recursive chunker,5,100,23.12,0.28,0.05600000000000001,0.24,0.24,0.13086364237205,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,10,100,23.12,0.53,0.053000000000000005,0.45,0.45,0.1957906431946967,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,15,100,23.12,0.67,0.04466666666666667,0.51,0.51,0.2219236256489342,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,20,100,23.12,0.73,0.036500000000000005,0.54,0.54,0.23237527105277686,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,25,100,23.12,0.78,0.031200000000000002,0.54,0.54,0.2376461415237714,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,30,100,23.12,0.86,0.028666666666666667,0.56,0.56,0.2462451309442297,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,35,100,23.12,0.87,0.02485714285714286,0.56,0.56,0.24744051671401443,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,40,100,23.12,0.89,0.022250000000000002,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,45,100,23.12,0.89,0.01977777777777778,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,50,100,23.12,0.89,0.0178,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,55,100,23.12,0.89,0.016181818181818183,0.56,0.56,0.24923432380508925,0.0,5442.13
id,chunker-generic-recursive,Recursive chunker,60,100,23.12,0.89,0.014833333333333334,0.56,0.56,0.24923432380508925,0.0,5442.13
en,chunker-generic-sliding-window,Sliding-window chunker,5,100,27.66,0.47,0.094,0.35,0.35,0.20179046862826897,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,10,100,27.66,0.87,0.08700000000000001,0.55,0.55,0.2756934859453732,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,15,100,27.66,1.03,0.06866666666666667,0.63,0.63,0.30403355356233813,0.0,6254.9025
en,chunker-generic-sliding-window,Sliding-window chunker,20,100,27.66,1.23,0.061500000000000006,0.69,0.69,0.33426269351671833,0.0,6254.9025
