analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
combined,baseline-generic-hybrid,Hybrid baseline,5,200,25.03,0.5,0.1,0.375,0.375,0.18034146448386884,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,10,200,25.03,0.83,0.083,0.575,0.575,0.248107273142034,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,15,200,25.03,1.04,0.06933333333333333,0.655,0.655,0.2836409188244786,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,20,200,25.03,1.235,0.06175,0.705,0.705,0.31026928188433883,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,25,200,25.03,1.37,0.0548,0.74,0.74,0.32750504334240177,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,30,200,25.03,1.43,0.04766666666666666,0.74,0.74,0.33330343715546124,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,35,200,25.03,1.455,0.04157142857142857,0.74,0.74,0.33524614321849117,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,40,200,25.03,1.475,0.036875,0.74,0.74,0.33657732688477454,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,45,200,25.03,1.495,0.03322222222222222,0.745,0.745,0.3386715178264039,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,50,200,25.03,1.495,0.029900000000000003,0.745,0.745,0.3386715178264039,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,55,200,25.03,1.495,0.027181818181818182,0.745,0.745,0.3386715178264039,0.0,11237.8195
combined,baseline-generic-hybrid,Hybrid baseline,60,200,25.03,1.495,0.024916666666666667,0.745,0.745,0.3386715178264039,0.0,11237.8195
combined,chunker-generic-recursive,Recursive chunker,5,200,25.285,0.365,0.07300000000000001,0.29,0.29,0.17228382499995337,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,10,200,25.285,0.615,0.061500000000000006,0.49,0.49,0.23503058244135488,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,15,200,25.285,0.745,0.049666666666666665,0.555,0.555,0.26030047941373896,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,20,200,25.285,0.81,0.0405,0.595,0.595,0.2724859188309559,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,25,200,25.285,0.895,0.0358,0.61,0.61,0.2837034483189314,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,30,200,25.285,0.96,0.032,0.625,0.625,0.29137480752621026,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,35,200,25.285,0.965,0.02757142857142857,0.625,0.625,0.2919725004111026,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,40,200,25.285,0.985,0.024624999999999998,0.63,0.63,0.2942560217005129,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,45,200,25.285,0.985,0.021888888888888892,0.63,0.63,0.2942560217005129,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,50,200,25.285,0.985,0.0197,0.63,0.63,0.2942560217005129,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,55,200,25.285,0.985,0.01790909090909091,0.63,0.63,0.2942560217005129,0.0,5870.0154999999995
combined,chunker-generic-recursive,Recursive chunker,60,200,25.285,0.985,0.016416666666666666,0.63,0.63,0.2942560217005129,0.0,5870.0154999999995
